id,decimalLatitude,decimalLongitude,occurrenceStatus
0,-37.93749999999998,145.1875,1
1,-37.770833333333314,144.97916666666666,1
2,-37.97916666666664,145.35416666666666,1
3,-37.60416666666664,145.02083333333331,1
4,-38.47916666666664,145.64583333333331,1
5,-37.93749999999998,145.14583333333331,1
6,-37.895833333333314,145.1875,1
7,-37.85416666666664,145.1875,1
8,-37.85416666666664,145.1875,1
9,-38.10416666666664,145.14583333333331,1
10,-37.72916666666664,145.0625,1
11,-37.68749999999998,145.0625,1
12,-37.770833333333314,145.60416666666666,0
13,-37.93749999999998,145.14583333333331,1
14,-38.10416666666664,145.22916666666666,1
15,-37.895833333333314,145.22916666666666,1
16,-37.895833333333314,145.22916666666666,1
17,-37.770833333333314,145.14583333333331,1
18,-37.85416666666664,145.22916666666666,1
19,-37.85416666666664,145.22916666666666,1
20,-37.72916666666664,145.6875,0
21,-37.93749999999998,145.39583333333331,1
22,-37.68749999999998,145.1875,1
23,-37.97916666666664,145.3125,1
24,-37.93749999999998,145.1875,1
25,-37.895833333333314,145.1875,1
26,-37.60416666666664,145.0625,1
27,-37.895833333333314,145.47916666666666,0
28,-37.85416666666664,145.1875,1
29,-37.72916666666664,144.8125,1
30,-38.020833333333314,145.14583333333331,1
31,-37.85416666666664,145.1875,1
32,-37.93749999999998,145.1875,1
33,-37.770833333333314,145.6875,0
34,-37.770833333333314,145.64583333333331,0
35,-38.22916666666664,145.14583333333331,1
36,-37.770833333333314,145.64583333333331,0
37,-37.895833333333314,145.1875,1
38,-37.72916666666664,145.22916666666666,1
39,-37.770833333333314,145.52083333333331,0
40,-38.18749999999998,145.1875,1
41,-37.72916666666664,145.22916666666666,1
42,-37.645833333333314,144.85416666666666,1
43,-37.81249999999998,145.35416666666666,0
44,-38.43749999999998,144.9375,1
45,-38.47916666666664,145.02083333333331,1
46,-37.770833333333314,145.64583333333331,0
47,-38.06249999999998,145.27083333333331,1
48,-37.81249999999998,145.27083333333331,0
49,-38.35416666666664,144.9375,1
50,-37.770833333333314,144.97916666666666,1
51,-37.85416666666664,144.8125,1
52,-37.72916666666664,144.97916666666666,1
53,-37.770833333333314,145.64583333333331,0
54,-37.72916666666664,144.97916666666666,1
55,-37.68749999999998,145.4375,0
56,-37.85416666666664,145.22916666666666,1
57,-37.895833333333314,145.22916666666666,1
58,-37.770833333333314,145.02083333333331,1
59,-37.93749999999998,145.1875,1
60,-38.35416666666664,144.9375,1
61,-37.93749999999998,145.22916666666666,1
62,-38.06249999999998,145.52083333333331,1
63,-38.35416666666664,144.9375,1
64,-37.770833333333314,145.27083333333331,0
65,-37.770833333333314,145.27083333333331,0
66,-37.645833333333314,144.97916666666666,1
67,-38.06249999999998,145.52083333333331,1
68,-38.06249999999998,145.52083333333331,1
69,-37.770833333333314,145.27083333333331,0
70,-37.85416666666664,145.1875,1
71,-37.81249999999998,145.27083333333331,0
72,-38.43749999999998,144.9375,1
73,-37.93749999999998,145.22916666666666,1
74,-38.020833333333314,145.3125,1
75,-37.72916666666664,145.72916666666666,0
76,-37.85416666666664,145.1875,1
77,-37.85416666666664,145.22916666666666,1
78,-37.72916666666664,144.97916666666666,1
79,-37.93749999999998,145.0625,1
80,-38.020833333333314,145.10416666666666,1
81,-38.020833333333314,145.10416666666666,1
82,-37.85416666666664,145.22916666666666,1
83,-37.85416666666664,145.22916666666666,1
84,-37.93749999999998,145.0625,1
85,-38.020833333333314,145.10416666666666,1
86,-38.020833333333314,145.10416666666666,1
87,-37.770833333333314,144.89583333333331,1
88,-38.145833333333314,145.27083333333331,1
89,-38.020833333333314,145.10416666666666,1
90,-38.31249999999998,145.4375,1
91,-38.31249999999998,145.4375,1
92,-38.020833333333314,145.3125,1
93,-38.020833333333314,145.3125,1
94,-38.35416666666664,145.4375,1
95,-37.93749999999998,145.22916666666666,1
96,-38.020833333333314,145.10416666666666,1
97,-38.31249999999998,145.1875,1
98,-37.85416666666664,145.22916666666666,1
99,-38.020833333333314,145.10416666666666,1
100,-37.93749999999998,145.0625,1
101,-37.93749999999998,145.0625,1
102,-38.020833333333314,145.10416666666666,1
103,-37.85416666666664,144.89583333333331,1
104,-37.85416666666664,145.22916666666666,1
105,-37.93749999999998,145.0625,1
106,-37.85416666666664,145.22916666666666,1
107,-38.395833333333314,145.47916666666666,1
108,-37.895833333333314,145.3125,1
109,-37.895833333333314,145.1875,1
